,X1,X2,X3,X4,X5,X6,X9,X10,X11,X12,X13,X15,X16,X17,X18,X19,X20,X21,X22,X23,X24,X25,X26,X27,Y1,Y2
count,20000.0,20000.0,20000.0,20000.0,20000.0,20000.0,20000.0,20000.0,20000.0,20000.0,20000.0,20000.0,20000.0,20000.0,20000.0,20000.0,20000.0,20000.0,20000.0,20000.0,20000.0,20000.0,20000.0,20000.0,20000.0,20000.0
mean,0.39854250472474995,-0.16685228698015003,-0.07910113569690001,0.3713463853547001,-0.2720019452323001,-0.22933947787470002,0.26626074044655,-0.07846902931904996,0.2371187999414,0.26058653371215007,-0.27543171980260006,-0.2598966929084001,-0.24660091757410005,-0.28322245400815005,-0.3040922108561499,0.0792232720508,0.3554485662225,-0.31253631425365,0.059713734009449966,0.1984811849011,0.09935567140000001,0.08481108226590002,0.3690310185377,-0.27642220701735004,-0.20935405255425002,-0.35650487512605
std,0.5590233157787846,0.9388276753589708,1.1042115432300383,0.8091807060950368,0.9766396281934252,1.0238595799071948,0.5017371487927734,0.9835781399100114,0.5468563393303096,0.970857109927929,0.9762723596187773,0.9630669607666973,0.8334467030623316,0.7115228759038903,0.7568415474417224,0.14566664915506455,0.7280668698191112,0.5289764424165693,0.7277661426326093,0.592877679777064,0.6936295099892326,0.9803097347361114,0.3849966374608627,0.9489369632520983,1.0026717095041102,0.7354891147986756
min,-1.101877479,-2.331430641,-2.363941529,-1.785083264,-2.0600266680000003,-2.059271697,-2.528489584,-2.278054062,-2.880750435,-2.362690137,-1.516691776,-1.61973344,-3.9132361660000003,-3.705578231,-3.126682647,-0.40456707700000005,-1.7511239619999999,-1.9834890440000001,-1.9440717269999999,-2.222909815,-2.038566742,-1.4359944180000002,-1.4670524280000001,-2.142275869,-2.5949111680000003,-2.34079941
25%,0.08153764225,-0.8407908339999999,-0.8346369765,-0.3781576855,-0.9216491082499999,-0.922695818,0.03397677525,-0.79354401325,-0.00675404275,-0.321037067,-0.9562228062499999,-0.93576574125,-0.86261546775,-0.7299700937499999,-0.79952380025,-0.031161019249999998,-0.17710756249999998,-0.6611470305,-0.46224166200000005,-0.22064804675000002,-0.391851381,-0.67965198075,0.15314395175,-0.8840546432499999,-0.9153038925,-0.86486703675
50%,0.359580921,-0.5467473285,-0.39234610849999996,0.6216796339999999,-0.7828702784999999,-0.7514121494999999,0.33382989350000003,-0.45599085699999997,0.293590521,-0.066312591,-0.863934025,-0.8273342584999999,-0.063729737,-0.28930553950000004,-0.3060904765,0.076711839,0.33584284349999993,-0.412707028,0.059362520999999994,0.176657315,0.1006856135,-0.087313537,0.397892725,-0.7833905274999999,-0.472667273,-0.5894416015
75%,0.9111431544999999,0.621935208,0.7849150655000001,1.0586821355,0.8824135925000001,0.99313210475,0.59303155725,0.6153109385,0.60175073675,0.4019732582500001,0.973012077,0.948918887,0.39518623075000003,0.14537727849999998,0.18855721950000004,0.176286781,0.855080389,-0.044054105,0.5379936322500001,0.613299861,0.5505360739999999,0.7336226512499999,0.635561983,1.0116744665,0.41615159199999996,0.26394540650000003
max,1.6125916740000001,2.611773435,2.3197561209999997,2.232254857,1.6372794919999998,1.971708066,1.6872343419999998,3.523460533,1.73798328,3.431153751,1.634390929,1.617313826,1.696356322,2.237558157,2.480205242,0.823523948,3.1306507089999998,2.6326866769999997,4.232195986,3.323630608,4.050832336,4.530452523,1.627704714,2.7157950439999996,2.520540659,2.0798461319999997
